Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
Iris,6,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,6IS_PLA0.0,Iris/RandomForestClassification/Raw/6IS_PLA0.0.pkl
Iris,7,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,7IS_RFA0.0,Iris/RandomForestClassification/Raw/7IS_RFA0.0.pkl
Iris,7,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,7IS_UA0.025,Iris/TreeFarms/Raw/7IS_UA0.025.pkl
Iris,7,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,7IS_PLA0.0,Iris/RandomForestClassification/Raw/7IS_PLA0.0.pkl
Iris,7,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,7IS_DA0.025,Iris/TreeFarms/Raw/7IS_DA0.025.pkl
Iris,8,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,8IS_DA0.025,Iris/TreeFarms/Raw/8IS_DA0.025.pkl
Iris,8,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,8IS_PLA0.0,Iris/RandomForestClassification/Raw/8IS_PLA0.0.pkl
Iris,8,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,8IS_RFA0.0,Iris/RandomForestClassification/Raw/8IS_RFA0.0.pkl
Iris,8,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,8IS_UA0.025,Iris/TreeFarms/Raw/8IS_UA0.025.pkl
Iris,9,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,9IS_RFA0.0,Iris/RandomForestClassification/Raw/9IS_RFA0.0.pkl
Iris,9,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,9IS_DA0.025,Iris/TreeFarms/Raw/9IS_DA0.025.pkl
Iris,9,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,9IS_PLA0.0,Iris/RandomForestClassification/Raw/9IS_PLA0.0.pkl
Iris,9,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,9IS_UA0.025,Iris/TreeFarms/Raw/9IS_UA0.025.pkl
Iris,10,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,10IS_RFA0.0,Iris/RandomForestClassification/Raw/10IS_RFA0.0.pkl
Iris,10,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,10IS_DA0.025,Iris/TreeFarms/Raw/10IS_DA0.025.pkl
Iris,10,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,10IS_PLA0.0,Iris/RandomForestClassification/Raw/10IS_PLA0.0.pkl
Iris,10,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,10IS_UA0.025,Iris/TreeFarms/Raw/10IS_UA0.025.pkl
Iris,11,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,11IS_RFA0.0,Iris/RandomForestClassification/Raw/11IS_RFA0.0.pkl
Iris,11,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,11IS_DA0.025,Iris/TreeFarms/Raw/11IS_DA0.025.pkl
Iris,11,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,11IS_UA0.025,Iris/TreeFarms/Raw/11IS_UA0.025.pkl
Iris,11,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,11IS_PLA0.0,Iris/RandomForestClassification/Raw/11IS_PLA0.0.pkl
Iris,12,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,12IS_PLA0.0,Iris/RandomForestClassification/Raw/12IS_PLA0.0.pkl
Iris,12,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,12IS_RFA0.0,Iris/RandomForestClassification/Raw/12IS_RFA0.0.pkl
